x,y,color,delta,value,
49.9602,-5.6184000000000065,#f7f4f9,0.05,0.0003248432365335921,
49.9602,-5.568400000000007,#f7f4f9,0.05,0.0003560037977054215,
49.9602,-5.518400000000007,#f7f4f9,0.05,0.00038680549170774277,
49.9602,-5.468400000000007,#f7f4f9,0.05,0.0004058076513466251,
49.9602,-5.418400000000007,#f7f4f9,0.05,0.00042907099845410036,
49.9602,-5.368400000000007,#f7f4f9,0.05,0.0004522614340482131,
49.9602,-5.318400000000008,#f7f4f9,0.05,0.000519933357466792,
49.9602,-5.268400000000008,#f7f4f9,0.05,0.0005576927949392067,
49.9602,-5.218400000000008,#f7f4f9,0.05,0.0005746023777637948,
49.9602,-5.168400000000008,#f7f4f9,0.05,0.0005941389084497655,
49.9602,-5.118400000000008,#f7f4f9,0.05,0.0005817370028942868,
49.9602,-5.0684000000000085,#f7f4f9,0.05,0.0005072209953580877,
49.9602,-5.018400000000009,#f7f4f9,0.05,0.00040000548200864853,
49.9602,-4.968400000000009,#f7f4f9,0.05,0.0002864379072047229,
49.9602,-4.918400000000009,#f7f4f9,0.05,0.00019394020537087935,
49.9602,-4.868400000000009,#f7f4f9,0.05,0.00010555594757177388,
49.9602,-4.818400000000009,#f7f4f9,0.05,0.00007387251528122445,
49.9602,-4.7684000000000095,#f7f4f9,0.05,0.00006949615432598672,
49.9602,-4.71840000000001,#f7f4f9,0.05,0.00006761645227255174,
49.9602,-4.66840000000001,#f7f4f9,0.05,0.00005988363190553424,
49.9602,-4.61840000000001,#f7f4f9,0.05,0.00005854579912749227,
49.9602,-4.56840000000001,#f7f4f9,0.05,0.000052947110907919736,
49.9602,-4.51840000000001,#f7f4f9,0.05,0.00005316311321616341,
49.9602,-4.468400000000011,#f7f4f9,0.05,0.00005810452126284762,
49.9602,-4.418400000000011,#f7f4f9,0.05,0.00006250041198680719,
49.9602,-4.368400000000011,#f7f4f9,0.05,0.0000667761989045483,
49.9602,-4.318400000000011,#f7f4f9,0.05,0.00007528875100384756,
49.9602,-4.268400000000011,#f7f4f9,0.05,0.00008364441164817068,
49.9602,-4.2184000000000115,#f7f4f9,0.05,0.00008651766132144193,
49.9602,-4.168400000000012,#f7f4f9,0.05,0.00009106624377951101,
49.9602,-4.118400000000012,#f7f4f9,0.05,0.00009442243237885668,
49.9602,-4.068400000000012,#f7f4f9,0.05,0.0000918671005650693,
49.9602,-4.018400000000012,#f7f4f9,0.05,0.00008910650503471266,
49.9602,-3.9684000000000124,#f7f4f9,0.05,0.00008728914940825898,
49.9602,-3.9184000000000125,#f7f4f9,0.05,0.00009122054952361297,
49.9602,-3.8684000000000127,#f7f4f9,0.05,0.0000864809208164196,
49.9602,-3.818400000000013,#f7f4f9,0.05,0.00008185369761977558,
49.9602,-3.768400000000013,#f7f4f9,0.05,0.00008147003112751619,
49.9602,-3.7184000000000133,#f7f4f9,0.05,0.00008227640226803839,
49.9602,-3.6684000000000134,#f7f4f9,0.05,0.00008171951426939098,
49.9602,-3.6184000000000136,#f7f4f9,0.05,0.00007732343210592833,
49.9602,-3.568400000000014,#f7f4f9,0.05,0.00007587579121395349,
49.9602,-3.518400000000014,#f7f4f9,0.05,0.00007437267571686109,
49.9602,-3.468400000000014,#f7f4f9,0.05,0.00006850511732955216,
49.9602,-3.4184000000000143,#f7f4f9,0.05,0.00006687896058703665,
49.9602,-3.3684000000000145,#f7f4f9,0.05,0.000062980489196172,
49.9602,-3.3184000000000147,#f7f4f9,0.05,0.00006167827609254324,
49.9602,-3.268400000000015,#f7f4f9,0.05,0.00005779978237473691,
49.9602,-3.218400000000015,#f7f4f9,0.05,0.00006028835700354405,
49.9602,-3.168400000000015,#f7f4f9,0.05,0.00006267747491276922,
49.9602,-3.1184000000000154,#f7f4f9,0.05,0.00007023067071100663,
49.9602,-3.0684000000000156,#f7f4f9,0.05,0.00007897184286518757,
49.9602,-3.0184000000000157,#f7f4f9,0.05,0.00008436328025252849,
49.9602,-2.968400000000016,#f7f4f9,0.05,0.00008902925394000008,
49.9602,-2.918400000000016,#f7f4f9,0.05,0.0000940183222277436,
49.9602,-2.8684000000000163,#f7f4f9,0.05,0.00009511599006791344,
49.9602,-2.8184000000000164,#f7f4f9,0.05,0.00009016139004905464,
49.9602,-2.7684000000000166,#f7f4f9,0.05,0.00008676924270999153,
49.9602,-2.718400000000017,#f7f4f9,0.05,0.00007771576905939806,
49.9602,-2.668400000000017,#f7f4f9,0.05,0.00007453701463075355,
49.9602,-2.618400000000017,#f7f4f9,0.05,0.00007253943388953554,
49.9602,-2.5684000000000173,#f7f4f9,0.05,0.00007132097048322255,
49.9602,-2.5184000000000175,#f7f4f9,0.05,0.00007096745140399781,
49.9602,-2.4684000000000177,#f7f4f9,0.05,0.00006944272027713692,
49.9602,-2.418400000000018,#f7f4f9,0.05,0.00006987732664501453,
49.9602,-2.368400000000018,#f7f4f9,0.05,0.00006796526929100863,
49.9602,-2.3184000000000182,#f7f4f9,0.05,0.00006679725486253763,
49.9602,-2.2684000000000184,#f7f4f9,0.05,0.00006380334916089255,
49.9602,-2.2184000000000186,#f7f4f9,0.05,0.00006305622803825744,
49.9602,-2.1684000000000188,#f7f4f9,0.05,0.00005988979661674665,
49.9602,-2.118400000000019,#f7f4f9,0.05,0.00005559064658234881,
49.9602,-2.068400000000019,#f7f4f9,0.05,0.00005431354311975491,
49.9602,-2.0184000000000193,#f7f4f9,0.05,0.00005350264633150388,
49.9602,-1.9684000000000192,#f7f4f9,0.05,0.00005188952486184822,
49.9602,-1.9184000000000192,#f7f4f9,0.05,0.00005050648677916675,
49.9602,-1.8684000000000192,#f7f4f9,0.05,0.00004740183514884015,
49.9602,-1.8184000000000191,#f7f4f9,0.05,0.00004875418601509651,
49.9602,-1.768400000000019,#f7f4f9,0.05,0.000050618574896528896,
49.9602,-1.718400000000019,#f7f4f9,0.05,0.00005076795623197748,
49.9602,-1.668400000000019,#f7f4f9,0.05,0.00005244039883866531,
49.9602,-1.618400000000019,#f7f4f9,0.05,0.00005504379077904433,
49.9602,-1.568400000000019,#f7f4f9,0.05,0.000053427451592548785,
49.9602,-1.5184000000000188,#f7f4f9,0.05,0.00005123423839051521,
49.9602,-1.4684000000000188,#f7f4f9,0.05,0.000049360407399646504,
49.9602,-1.4184000000000188,#f7f4f9,0.05,0.00004515250600458975,
49.9602,-1.3684000000000187,#f7f4f9,0.05,0.00003712915578061723,
49.9602,-1.3184000000000187,#f7f4f9,0.05,0.000030608531556926055,
49.9602,-1.2684000000000186,#f7f4f9,0.05,0.00002593215772211771,
49.9602,-1.2184000000000186,#f7f4f9,0.05,0.000023427807514170777,
49.9602,-1.1684000000000185,#f7f4f9,0.05,0.000022837113375035995,
49.9602,-1.1184000000000185,#f7f4f9,0.05,0.00002112688292560529,
49.9602,-1.0684000000000184,#f7f4f9,0.05,0.00002316176570491169,
49.9602,-1.0184000000000184,#f7f4f9,0.05,0.000024840650282279538,
49.9602,-0.9684000000000184,#f7f4f9,0.05,0.000024520275844164387,
49.9602,-0.9184000000000183,#f7f4f9,0.05,0.00002252061919632192,
49.9602,-0.8684000000000183,#f7f4f9,0.05,0.00002090173164037141,
49.9602,-0.8184000000000182,#f7f4f9,0.05,0.000018716676967016378,
49.9602,-0.7684000000000182,#f7f4f9,0.05,0.000014721013374442257,
49.9602,-0.7184000000000181,#f7f4f9,0.05,0.000010728953063374282,
49.9602,-0.6684000000000181,#f7f4f9,0.05,0.000009253024808613662,
49.9602,-0.618400000000018,#f7f4f9,0.05,0.00000721622978210676,
49.9602,-0.568400000000018,#f7f4f9,0.05,0.0000070850298335835354,
49.9602,-0.518400000000018,#f7f4f9,0.05,0.000006154727352912331,
49.9602,-0.46840000000001797,#f7f4f9,0.05,0.000008187380367001796,
49.9602,-0.418400000000018,#f7f4f9,0.05,0.00000882921465366016,
49.9602,-0.368400000000018,#f7f4f9,0.05,0.000009100443915956978,
49.9602,-0.318400000000018,#f7f4f9,0.05,0.000009569807774503408,
49.9602,-0.268400000000018,#f7f4f9,0.05,0.00001119915315539935,
49.9602,-0.21840000000001802,#f7f4f9,0.05,0.000013483213672739859,
49.9602,-0.16840000000001804,#f7f4f9,0.05,0.000014965832694702478,
49.9602,-0.11840000000001803,#f7f4f9,0.05,0.00001914049208944538,
49.9602,-0.06840000000001803,#f7f4f9,0.05,0.000021262469082080295,
49.9602,-0.018400000000018027,#f7f4f9,0.05,0.000025152596694548893,
49.9602,0.031599999999981976,#f7f4f9,0.05,0.000028644730567358032,
49.9602,0.08159999999998198,#f7f4f9,0.05,0.00003005857570893569,
49.9602,0.13159999999998198,#f7f4f9,0.05,0.000030976940169220514,
49.9602,0.181599999999982,#f7f4f9,0.05,0.00003215013203299941,
49.9602,0.231599999999982,#f7f4f9,0.05,0.000030647433327745004,
49.9602,0.281599999999982,#f7f4f9,0.05,0.000029229275864984784,
49.9602,0.33159999999998196,#f7f4f9,0.05,0.00002642887342404202,
49.9602,0.38159999999998195,#f7f4f9,0.05,0.00002607317076148243,
49.9602,0.43159999999998194,#f7f4f9,0.05,0.000025003242523552843,
49.9602,0.48159999999998193,#f7f4f9,0.05,0.000024468157294479982,
49.9602,0.531599999999982,#f7f4f9,0.05,0.00002392176019583675,
49.9602,0.581599999999982,#f7f4f9,0.05,0.00002312194156434433,
49.9602,0.6315999999999821,#f7f4f9,0.05,0.000022807899855587285,
49.9602,0.6815999999999821,#f7f4f9,0.05,0.00002373173929968408,
49.9602,0.7315999999999822,#f7f4f9,0.05,0.000025442351048529362,
49.9602,0.7815999999999822,#f7f4f9,0.05,0.000029976598568305587,
49.9602,0.8315999999999822,#f7f4f9,0.05,0.0000336052620810165,
49.9602,0.8815999999999823,#f7f4f9,0.05,0.00003879638434546806,
49.9602,0.9315999999999823,#f7f4f9,0.05,0.000042662709060038006,
49.9602,0.9815999999999824,#f7f4f9,0.05,0.000046849344576927814,
49.9602,1.0315999999999823,#f7f4f9,0.05,0.000049706921928070054,
49.9602,1.0815999999999824,#f7f4f9,0.05,0.00005614211591250968,
49.9602,1.1315999999999824,#f7f4f9,0.05,0.00006124662183851955,
49.9602,1.1815999999999824,#f7f4f9,0.05,0.00006546170229719028,
49.9602,1.2315999999999825,#f7f4f9,0.05,0.00006982738071303321,
49.9602,1.2815999999999825,#f7f4f9,0.05,0.00008211388366650683,
49.9602,1.3315999999999826,#f7f4f9,0.05,0.00009525000730633762,
49.9602,1.3815999999999826,#f7f4f9,0.05,0.00009937269119432822,
49.9602,1.4315999999999827,#f7f4f9,0.05,0.00010325431447748126,
49.9602,1.4815999999999827,#f7f4f9,0.05,0.00010103908113886427,
49.9602,1.5315999999999828,#f7f4f9,0.05,0.00009408965509419605,
49.9602,1.5815999999999828,#f7f4f9,0.05,0.00008097209363392629,
49.9602,1.6315999999999828,#f7f4f9,0.05,0.00006012266591161379,
50.0102,-7.5684,#f7f4f9,0.05,0.0000016956291969094755,
50.0102,-7.5184,#f7f4f9,0.05,0.000002550466036262063,
