x,y,color,delta,value,
24.3471,130.01000000000022,#f7f4f9,0.09,0,
24.3471,130.10000000000022,#f7f4f9,0.09,0,
24.3471,130.19000000000023,#f7f4f9,0.09,0,
24.3471,130.28000000000023,#f7f4f9,0.09,0,
24.3471,130.37000000000023,#f7f4f9,0.09,0,
24.3471,130.46000000000024,#f7f4f9,0.09,0,
24.3471,130.55000000000024,#f7f4f9,0.09,0,
24.3471,130.64000000000024,#f7f4f9,0.09,0,
24.3471,130.73000000000025,#f7f4f9,0.09,0.000005452926072299777,
24.3471,130.82000000000025,#f7f4f9,0.09,0.000005872182864918437,
24.3471,130.91000000000025,#f7f4f9,0.09,0.0000061504344953257755,
24.3471,131.00000000000026,#f7f4f9,0.09,0.000006265392571809443,
24.3471,131.09000000000026,#f7f4f9,0.09,0.000006207647428809569,
24.3471,131.18000000000026,#f7f4f9,0.09,0.000005981940126363327,
24.3471,131.27000000000027,#f7f4f9,0.09,0.000005606519608530488,
24.3471,131.36000000000027,#f7f4f9,0.09,0,
24.3471,131.45000000000027,#f7f4f9,0.09,0,
24.3471,131.54000000000028,#f7f4f9,0.09,0,
24.3471,131.63000000000028,#f7f4f9,0.09,0,
24.3471,131.72000000000028,#f7f4f9,0.09,0,
24.3471,131.8100000000003,#f7f4f9,0.09,0,
24.3471,131.9000000000003,#f7f4f9,0.09,0,
24.3471,131.9900000000003,#f7f4f9,0.09,0,
24.3471,132.0800000000003,#f7f4f9,0.09,0,
24.3471,132.1700000000003,#f7f4f9,0.09,0.0000055110937689571285,
24.3471,132.2600000000003,#f7f4f9,0.09,0.0000058259301271393286,
24.3471,132.3500000000003,#f7f4f9,0.09,0.000005990030134769649,
24.3471,132.4400000000003,#f7f4f9,0.09,0.000005990030134769097,
24.3471,132.5300000000003,#f7f4f9,0.09,0.000005825930127137718,
24.3471,132.62000000000032,#f7f4f9,0.09,0.000005511093768954591,
24.3471,132.71000000000032,#f7f4f9,0.09,0,
24.3471,132.80000000000032,#f7f4f9,0.09,0,
24.3471,132.89000000000033,#f7f4f9,0.09,0,
