x,y,color,delta,value
36.3,-85.54254099999937,#f7f4f9,0.04,0,
36.3,-85.50254099999937,#f7f4f9,0.04,0,
36.3,-85.46254099999936,#f7f4f9,0.04,0,
36.3,-85.42254099999936,#f7f4f9,0.04,0,
36.3,-85.38254099999935,#f7f4f9,0.04,0,
36.3,-85.34254099999934,#f7f4f9,0.04,0,
36.3,-85.30254099999934,#f7f4f9,0.04,0,
36.3,-85.26254099999933,#f7f4f9,0.04,0,
36.3,-85.22254099999932,#f7f4f9,0.04,0,
36.3,-85.18254099999932,#f7f4f9,0.04,0,
36.3,-85.14254099999931,#f7f4f9,0.04,0,
36.3,-85.1025409999993,#f7f4f9,0.04,0,
36.3,-85.0625409999993,#f7f4f9,0.04,0,
36.3,-85.0225409999993,#f7f4f9,0.04,0,
36.3,-84.98254099999929,#f7f4f9,0.04,0,
36.3,-84.94254099999928,#f7f4f9,0.04,0,
36.3,-84.90254099999927,#f7f4f9,0.04,0,
36.3,-84.86254099999927,#f7f4f9,0.04,0,
36.3,-84.82254099999926,#f7f4f9,0.04,0,
36.3,-84.78254099999926,#f7f4f9,0.04,0,
36.3,-84.74254099999925,#f7f4f9,0.04,0,
36.3,-84.70254099999924,#f7f4f9,0.04,0,
36.3,-84.66254099999924,#f7f4f9,0.04,0,
36.3,-84.62254099999923,#f7f4f9,0.04,0,
36.3,-84.58254099999922,#f7f4f9,0.04,0,
36.3,-84.54254099999922,#f7f4f9,0.04,0,
36.3,-84.50254099999921,#f7f4f9,0.04,0,
36.3,-84.4625409999992,#f7f4f9,0.04,0,
36.3,-84.4225409999992,#f7f4f9,0.04,0,
36.3,-84.3825409999992,#f7f4f9,0.04,0,
36.3,-84.34254099999919,#f7f4f9,0.04,0,
36.3,-84.30254099999918,#f7f4f9,0.04,0,
36.3,-84.26254099999917,#f7f4f9,0.04,0,
36.3,-84.22254099999917,#f7f4f9,0.04,0,
36.3,-84.18254099999916,#f7f4f9,0.04,0,
36.3,-84.14254099999916,#f7f4f9,0.04,0,
36.3,-84.10254099999915,#f7f4f9,0.04,0,
36.3,-84.06254099999914,#f7f4f9,0.04,0,
36.3,-84.02254099999914,#f7f4f9,0.04,0,
36.3,-83.98254099999913,#f7f4f9,0.04,0,
36.3,-83.94254099999912,#f7f4f9,0.04,0,
36.3,-83.90254099999912,#f7f4f9,0.04,0,
36.3,-83.86254099999911,#f7f4f9,0.04,0,
36.3,-83.8225409999991,#f7f4f9,0.04,0,
36.3,-83.7825409999991,#f7f4f9,0.04,0,
36.3,-83.7425409999991,#f7f4f9,0.04,0,
36.3,-83.70254099999909,#f7f4f9,0.04,0,
36.3,-83.66254099999908,#f7f4f9,0.04,0,
36.3,-83.62254099999907,#f7f4f9,0.04,0,
36.3,-83.58254099999907,#f7f4f9,0.04,0,
