x,y,color,delta,value
36.3,-87.10254099999962,#f7f4f9,0.04,0,
36.3,-87.06254099999961,#f7f4f9,0.04,0,
36.3,-87.0225409999996,#f7f4f9,0.04,0,
36.3,-86.9825409999996,#f7f4f9,0.04,0,
36.3,-86.9425409999996,#f7f4f9,0.04,0,
36.3,-86.90254099999959,#f7f4f9,0.04,4.89808812992155e-9,
36.3,-86.86254099999958,#f7f4f9,0.04,1.0475320103273712e-8,
36.3,-86.82254099999957,#f7f4f9,0.04,1.0327825614319003e-8,
36.3,-86.78254099999957,#f7f4f9,0.04,4.809651091019239e-9,
36.3,-86.74254099999956,#f7f4f9,0.04,0,
36.3,-86.70254099999956,#f7f4f9,0.04,0,
36.3,-86.66254099999955,#f7f4f9,0.04,3.5554822368589726e-9,
36.3,-86.62254099999954,#f7f4f9,0.04,3.945989252512294e-9,
36.3,-86.58254099999954,#f7f4f9,0.04,3.159387094338406e-9,
36.3,-86.54254099999953,#f7f4f9,0.04,0,
36.3,-86.50254099999952,#f7f4f9,0.04,0,
36.3,-86.46254099999952,#f7f4f9,0.04,0,
36.3,-86.42254099999951,#f7f4f9,0.04,0,
36.3,-86.3825409999995,#f7f4f9,0.04,1.3716745684404391e-8,
36.3,-86.3425409999995,#f7f4f9,0.04,6.222340501996708e-8,
36.3,-86.3025409999995,#f7f4f9,0.04,1.2955543719580376e-7,
36.3,-86.26254099999949,#f7f4f9,0.04,1.8689446704710158e-7,
36.3,-86.22254099999948,#f7f4f9,0.04,1.9055471679094608e-7,
36.3,-86.18254099999947,#f7f4f9,0.04,3.4372864667762824e-7,
36.3,-86.14254099999947,#f7f4f9,0.04,6.494495876080586e-7,
36.3,-86.10254099999946,#f7f4f9,0.04,0.0000011349994319844796,
36.3,-86.06254099999946,#f7f4f9,0.04,0.0000015758298310037813,
36.3,-86.02254099999945,#f7f4f9,0.04,0.0000016934161473182364,
36.3,-85.98254099999944,#f7f4f9,0.04,0.0000014147475745880765,
36.3,-85.94254099999944,#f7f4f9,0.04,9.247333735028948e-7,
36.3,-85.90254099999943,#f7f4f9,0.04,4.931190925532538e-7,
36.3,-85.86254099999942,#f7f4f9,0.04,2.868545219317236e-7,
36.3,-85.82254099999942,#f7f4f9,0.04,1.7948203512915954e-7,
36.3,-85.78254099999941,#f7f4f9,0.04,1.1788572341185112e-7,
36.3,-85.7425409999994,#f7f4f9,0.04,5.0314470688647574e-8,
36.3,-85.7025409999994,#f7f4f9,0.04,8.404271841150274e-9,
36.3,-85.6625409999994,#f7f4f9,0.04,0,
36.3,-85.62254099999939,#f7f4f9,0.04,5.140989835878266e-8,
36.3,-85.58254099999938,#f7f4f9,0.04,1.4042996427860626e-7,
36.3,-85.54254099999937,#f7f4f9,0.04,2.598147158959532e-7,
36.3,-85.50254099999937,#f7f4f9,0.04,3.4086123591491584e-7,
36.3,-85.46254099999936,#f7f4f9,0.04,3.2353875084609387e-7,
36.3,-85.42254099999936,#f7f4f9,0.04,2.237052776069625e-7,
36.3,-85.38254099999935,#f7f4f9,0.04,1.1091836600685684e-7,
36.3,-85.34254099999934,#f7f4f9,0.04,2.4884472118266596e-8,
36.3,-85.30254099999934,#f7f4f9,0.04,0,
36.3,-85.26254099999933,#f7f4f9,0.04,0,
36.3,-85.22254099999932,#f7f4f9,0.04,0,
36.3,-85.18254099999932,#f7f4f9,0.04,0,
36.3,-85.14254099999931,#f7f4f9,0.04,0,
36.3,-85.1025409999993,#f7f4f9,0.04,2.096296308657033e-8,
36.3,-85.0625409999993,#f7f4f9,0.04,3.3438141718669366e-8,
36.3,-85.0225409999993,#f7f4f9,0.04,3.8486611234790576e-8,
36.3,-84.98254099999929,#f7f4f9,0.04,3.476446939956902e-8,
36.3,-84.94254099999928,#f7f4f9,0.04,7.597860666561437e-8,
36.3,-84.90254099999927,#f7f4f9,0.04,1.6381213636922434e-7,
36.3,-84.86254099999927,#f7f4f9,0.04,3.330029647320449e-7,
36.3,-84.82254099999926,#f7f4f9,0.04,4.0682273189928365e-7,
36.3,-84.78254099999926,#f7f4f9,0.04,3.571263550054203e-7,
36.3,-84.74254099999925,#f7f4f9,0.04,2.1666583429739718e-7,
36.3,-84.70254099999924,#f7f4f9,0.04,8.212439087381547e-8,
36.3,-84.66254099999924,#f7f4f9,0.04,8.701759433739103e-9,
36.3,-84.62254099999923,#f7f4f9,0.04,3.786197463810731e-8,
36.3,-84.58254099999922,#f7f4f9,0.04,1.222209959781893e-7,
36.3,-84.54254099999922,#f7f4f9,0.04,2.5368618151651366e-7,
36.3,-84.50254099999921,#f7f4f9,0.04,3.6554709486837525e-7,
36.3,-84.4625409999992,#f7f4f9,0.04,3.917610951980819e-7,
36.3,-84.4225409999992,#f7f4f9,0.04,2.931269262967286e-7,
36.3,-84.3825409999992,#f7f4f9,0.04,1.624814030153702e-7,
36.3,-84.34254099999919,#f7f4f9,0.04,5.1879975597028e-8,
36.3,-84.30254099999918,#f7f4f9,0.04,0,
36.3,-84.26254099999917,#f7f4f9,0.04,0,
36.3,-84.22254099999917,#f7f4f9,0.04,5.703775686094533e-9,
36.3,-84.18254099999916,#f7f4f9,0.04,8.057900519979861e-8,
36.3,-84.14254099999916,#f7f4f9,0.04,1.7773791499830613e-7,
36.3,-84.10254099999915,#f7f4f9,0.04,2.414983920759706e-7,
36.3,-84.06254099999914,#f7f4f9,0.04,4.607572611840433e-7,
36.3,-84.02254099999914,#f7f4f9,0.04,7.658315022475975e-7,
36.3,-83.98254099999913,#f7f4f9,0.04,9.764538031674592e-7,
36.3,-83.94254099999912,#f7f4f9,0.04,9.764691578187824e-7,
36.3,-83.90254099999912,#f7f4f9,0.04,6.869445116369645e-7,
36.3,-83.86254099999911,#f7f4f9,0.04,2.733063920443971e-7,
36.3,-83.8225409999991,#f7f4f9,0.04,4.1420585379043936e-8,
36.3,-83.7825409999991,#f7f4f9,0.04,3.9766193977235635e-8,
36.3,-83.7425409999991,#f7f4f9,0.04,1.867136069587116e-8,
36.3,-83.70254099999909,#f7f4f9,0.04,0,
36.3,-83.66254099999908,#f7f4f9,0.04,0,
36.3,-83.62254099999907,#f7f4f9,0.04,0,
36.3,-83.58254099999907,#f7f4f9,0.04,0,
36.3,-83.54254099999906,#f7f4f9,0.04,0,
36.3,-83.50254099999906,#f7f4f9,0.04,0,
36.3,-83.46254099999905,#f7f4f9,0.04,0,
36.3,-83.42254099999904,#f7f4f9,0.04,0,
36.3,-83.38254099999904,#f7f4f9,0.04,0,
36.3,-83.34254099999903,#f7f4f9,0.04,0,
36.3,-83.30254099999902,#f7f4f9,0.04,0,
36.3,-83.26254099999902,#f7f4f9,0.04,0,
36.3,-83.22254099999901,#f7f4f9,0.04,0,
36.3,-83.182540999999,#f7f4f9,0.04,0,
36.3,-83.142540999999,#f7f4f9,0.04,0,
36.3,-83.102540999999,#f7f4f9,0.04,0,
36.3,-83.06254099999899,#f7f4f9,0.04,0,
36.3,-83.02254099999898,#f7f4f9,0.04,0,
36.3,-82.98254099999897,#f7f4f9,0.04,0,
36.3,-82.94254099999897,#f7f4f9,0.04,0,
36.3,-82.90254099999896,#f7f4f9,0.04,0,
36.3,-82.86254099999896,#f7f4f9,0.04,0,
36.3,-82.82254099999895,#f7f4f9,0.04,0,
36.3,-82.78254099999894,#f7f4f9,0.04,0,
36.3,-82.74254099999894,#f7f4f9,0.04,0,
36.3,-82.70254099999893,#f7f4f9,0.04,0,
36.3,-82.66254099999892,#f7f4f9,0.04,0,
36.3,-82.62254099999892,#f7f4f9,0.04,0,
36.3,-82.58254099999891,#f7f4f9,0.04,0,
36.3,-82.5425409999989,#f7f4f9,0.04,0,
36.3,-82.5025409999989,#f7f4f9,0.04,0,
36.3,-82.4625409999989,#f7f4f9,0.04,0,
36.3,-82.42254099999889,#f7f4f9,0.04,0,
36.3,-82.38254099999888,#f7f4f9,0.04,0,
36.3,-82.34254099999887,#f7f4f9,0.04,0,
36.3,-82.30254099999887,#f7f4f9,0.04,0,
36.3,-82.26254099999886,#f7f4f9,0.04,0,
36.3,-82.22254099999886,#f7f4f9,0.04,0,
36.3,-82.18254099999885,#f7f4f9,0.04,0,
36.3,-82.14254099999884,#f7f4f9,0.04,0,
36.3,-82.10254099999884,#f7f4f9,0.04,0,
36.3,-82.06254099999883,#f7f4f9,0.04,0,
36.3,-82.02254099999882,#f7f4f9,0.04,0,
36.3,-81.98254099999882,#f7f4f9,0.04,0,
36.339999999999996,-89.582541,#f7f4f9,0.04,0.00003318026866564153,
36.339999999999996,-89.542541,#f7f4f9,0.04,0.00004780556162379645,
36.339999999999996,-89.502541,#f7f4f9,0.04,0.00005903330778006213,
36.339999999999996,-89.46254099999999,#f7f4f9,0.04,0.00006698011815776264,
36.339999999999996,-89.42254099999998,#f7f4f9,0.04,0.00007577215376792059,
